번호,명칭,소재지,지정일
913호,"경주 남산 용장사지 마애여래좌상(慶州 南山 茸長寺址 磨崖如來坐像)(Rock-carved Seated Buddha at Yongjangsa Temple Site in Namsan Mountain, Gyeongju)",경북 경주시 내남면 용장리 산1-1,"1987년3월 9일지정,2010년8월 25일명칭 변경"
914호,"정읍 보화리 석조이불입상(井邑 普化里 石造二佛立像)(Two Stone Standing Buddhas in Bohwa-ri, Jeongeup)","전북 정읍시 소성면 보화리 116, 110-5, 110-6","1987년3월 9일지정,2010년8월 25일명칭 변경"
915호,"보은 법주사 대웅보전(報恩 法住寺 大雄寶殿)(Daeungbojeon Hall of Beopjusa Temple, Boeun)","충북 보은군 속리산면 법주사로 379, 법주사 (사내리)",1987년3월 9일지정
916호,"보은 법주사 원통보전(報恩 法住寺 圓通寶殿)(Wontongbojeon Hall of Beopjusa Temple, Boeun)","충북 보은군 속리산면 법주사로 379, 법주사 (사내리)",1987년3월 9일지정
917호,배자예부운략 목판(排字禮部韻略 木板)(Printing Woodblocks of Baeja yebu ullyak (Concise Rhymes of the Ministry of Rites)),경북 안동시 도산면 퇴계로 1997 한국국학진흥원,1987년7월 16일지정
919호,범망경 및 금강반야바라밀경(梵網經 및 金剛般若波羅蜜經)(Brahmajala Sutra (The Sutra of Brahma's Net) and Prajnaparamita Sutra (The Diamond Sutra)),"서울 서대문구 충정로9길 10-10, (재)아단문고 (충정로2가)",1987년7월 16일지정
921호,진실주집(眞實珠集)(Jinsiljujip (Book of True Pearls)),"서울 서대문구 충정로9길 10-10, (재)아단문고 (충정로2가)",1987년7월 16일지정
922호,"상주 남장사 보광전 목각아미타여래설법상(尙州 南長寺 普光殿 木刻阿彌陀如來說法像)(Wooden Amitabha Buddha Altarpiece in Bogwangjeon Hall of Namjangsa Temple, Sangju)","경북 상주시 남장1길 259-22, 남장사 (남장동)",1987년7월 16일지정
923호,"상주 남장사 관음선원 목각아미타여래설법상(尙州 南長寺 觀音禪院 木刻阿彌陀如來說法像)(Wooden Amitabha Buddha and Bodhisattvas Altarpiece at Gwaneumseonwon Hermitage of Namjangsa Temple, Sangju)",경북 상주시 남장1길 303 남장사 관음선원 (남장동),1987년7월 16일지정
924호,천은사극락전아미타후불탱화(泉隱寺極樂殿阿彌陀後佛幀畵)(Hanging Scroll Behind the Amitabha Buddha in Geungnakjeon Hall of Cheoneunsa Temple),"전남 구례군 광의면 노고단로 209, 천은사 (방광리)",1987년7월 16일지정
925호,쌍계사팔상전영산회상도(雙溪寺八相殿靈山會相圖)(Buddhist Painting in Palsangjeon Hall of Ssanggyesa Temple (The Vulture Peak Assembly)),"경남 하동군 화개면 쌍계사길 59, 쌍계사 (운수리)",1987년7월 16일지정
926호,수월관음보살도(水月觀音菩薩圖)(Painting of Avalokitesvara Bodhisattva),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1987년7월 16일지정
928호,"남양주 봉인사 부도암지 사리탑 및 사리장엄구(南楊州 奉印寺 浮圖庵址 舍利塔 및 舍利莊嚴具)(Stupa and Reliquaries from Budoam Hermitage Site of Bonginsa Temple, Namyangju)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)","1987년7월 29일지정,2010년12월 27일명칭변경"
930호,이경석 궤장 및 사궤장 연회도 화첩(李景奭 几杖 및 賜几杖 宴會圖 畵帖)(Staff and Chair of Yi Gyeong-seok and Paintings of the Conferment Banquet),"경기 용인시 기흥구 상갈로 6, 경기도박물관 (상갈동)",1987년12월 26일지정
932호,영조어진(英祖御眞)(Portrait of King Yeongjo),"서울 종로구 효자로 12, 국립고궁박물관 (세종로,국립고궁박물관)",1987년12월 26일지정
933호,지장보살본원경(地藏菩薩本願經)(Ksitigarbha pranidhana Sutra (Great Vows of Ksitigarbha Bodhisattva)),경기 용인시 처인구 포곡읍 에버랜드로 562번길 38 호암미술관,1987년12월 26일지정
934호,"목우자수심결 및 사법어(언해)(牧牛子修心訣 및 四法語(諺解))(Moguja susimgyeol (Golden Teachings on Mind Cultivation) and Sabeobeo (Four Dharma-words), Korean Translation)",서울 용산구,1987년12월 26일지정
935호,"월인석보 권11, 12(月印釋譜 卷十一, 十二)(Worin seokbo (Episodes from the Life of Sakyamuni Buddha), Volumes 11 and 12)","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1987년12월 26일지정
936-1호,"묘법연화경 권6~7(妙法蓮華經 卷六~七)(Saddharmapundarika Sutra (The Lotus Sutra), Volumes 6 and 7)","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1987년12월 26일지정
937호,"상교정본자비도량참법 권10(詳校正本慈悲道場懺法 卷十)(Jabi doryang chambeop (Repentance Ritual of the Great Compassion), Revised Version, Volume 10)","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1987년12월 26일지정
938호,"대방광원각략소주경 권상의2(大方廣圓覺略疏注經 卷上之二)(Annotated Mahavaipulya purnabudha Sutra (The Complete Enlightenment Sutra), Part 2 of Volume 1)","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1987년12월 26일지정
939호,"대불정여래밀인수증료의제보살만행수능엄경 권4~7, 8~10(大佛頂如來密因修證了義諸菩薩萬行首楞嚴經 卷四∼七, 八∼十)(Shurangama Sutra (The Sutra of the Heroic One), Korean Translation, Volumes 4-7 and 8-10)","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1987년12월 26일지정
940호,백지묵서지장보살본원경(白紙墨書地藏菩薩本願經)(Transcription of Ksitigarbha pranidhana Sutra (Great Vows of Ksitigarbha Bodhisattva) in Ink on White Paper),서울 용산구 이태원로 55길 60-16 삼성미술관 리움,1987년12월 26일지정
941-1호,선조어서사송언신밀찰첩(宣祖御書賜宋言愼密札帖)(Letters of King Seonjo to Song Eon-sin and Portrait of Song Eon-sin),"경기 용인시 기흥구 상갈로 6, 경기도박물관 (상갈동)",1987년12월 26일지정
942호,황진가 고문서(黃進家 古文書)(Documents of Hwang Jin’s Family),전북 남원시,1987년12월 26일지정
943호,"보성 우천리 삼층석탑(寶城 牛川里 三層石塔)(Three-story Stone Pagoda in Ucheon-ri, Boseong)",전남 보성군 조성면 우천리 326-17,"1988년4월 1일지정,2010년12월 27일명칭변경"
944호,"보성 유신리 마애여래좌상(寶城 柳新里 磨崖如來坐像)(Rock-carved Seated Buddha in Yusin-ri, Boseong)",전남 보성군 율어면 유신길 195 (유신리),1988년4월 1일지정
945호,"순천 금둔사지 삼층석탑(順天 金芚寺址 三層石塔)(Three-story Stone Pagoda at Geumdunsa Temple Site, Suncheon)",전남 순천시 낙안면 상송리 산2-1 금둔사,"1988년4월 1일지정,2010년12월 27일명칭변경"
946호,"순천 금둔사지 석조불비상(順天 金芚寺址 石造佛碑像)(Stone Stele at Geumdunsa Temple Site, Suncheon)",전남 순천시 낙안면 상송리 산2-1 금둔사,"1988년4월 1일지정,2010년8월 25일명칭 변경"
947호,"해남 미황사 대웅전(海南 美黃寺 大雄殿)(Daeungjeon Hall of Mihwangsa Temple, Haenam)","전남 해남군 송지면 미황사길 164, 미황사 (서정리)",1988년4월 1일지정
948-1호,"대불정여래밀인수증요의제보살만행수능엄경(언해) 권3(大佛頂如來密因修證了義諸菩薩萬行首楞嚴經(諺解) 卷三)(Shurangama Sutra (The Sutra of the Heroic One), Korean Translation, Volume 3)",서울 중구 필동로 1길 30 동국대학교박물관,1988년6월 16일지정
948-2호,"대불정여래밀인수증요의제보살만행수능엄경(언해) 권3(大佛頂如來密因修證了義諸菩薩萬行首楞嚴經(諺解) 卷3)(Shurangama Sutra (The Sutra of the Heroic One), Korean Translation, Volume 3)","경기 성남시 분당구 쇳골북로32번길 6, 304동 104호 (금곡동,하이츠빌리지아파트)",2010년10월 25일지정
949호,예념미타도량참법(禮念彌陀道場懺法)(Yenyeom mita doryang chambeop (Contrition in the Name of Amitabha Buddha)),"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1988년6월 16일지정
950호,"묘법연화경 권5~7(妙法蓮華經 卷五~七)(Saddharmapundarika Sutra (The Lotus Sutra), Volumes 5-7)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1988년6월 16일지정
951호,선조국문유서(宣祖國文諭書)(Royal Edict of King Seonjo Written in Hangeul),"부산 남구 유엔평화로 63, 부산시립박물관 (대연동,부산광역시시립박물관)",1988년6월 16일지정
952호,이광악 선무공신교서(李光岳 宣武功臣敎書)(Royal Certificate of Meritorious Subject Issued to Yi Gwang-ak),충남 천안시 목천면 남화리 230 독립기념관,1988년6월 16일지정
953호,조숭 고신왕지(趙崇 告身王旨)(Royal Edict of Appointment Issued to Jo Sung),서울 용산구 서빙고로 137 국립중앙박물관,1988년6월 16일지정
954호,조서경 무과홍패(趙瑞卿 武科紅牌)(Red Certificate of Passing the Military Service Examination Issued to Jo Seo-gyeong),서울 용산구 서빙고로 137 국립중앙박물관,1988년6월 16일지정
955호,"순천 선암사 삼층석탑 사리장엄구(順天 仙巖寺 三層石塔 舍利莊嚴具)(Reliquaries from the Three-story Stone Pagoda of Seonamsa Temple, Suncheon)","전남 순천시 승주읍 선암사길 450, 선암사 성보박물관 (죽학리)",1988년6월 16일지정
956호,"곡성 태안사 청동 대바라(谷城 泰安寺 靑銅 大鈸鑼)(Bronze Cymbals of Taeansa Temple, Gokseong)",전남 곡성군 죽곡면 태안로 622-215 (원달리),1988년6월 16일지정
957호,김일손 거문고(金馹孫 琴)(Kim Il-son's Geomungo),대구 수성구 청호로 321 국립대구박물관,1988년6월 16일지정
958호,"경주 기림사 소조비로자나삼불좌상(慶州 祇林寺 塑造毘盧遮那三佛坐像)(Clay Seated Vairocana Buddha Triad of Girimsa Temple, Gyeongju)",경북 경주시 양북면 호암리 420 기림사,1988년11월 4일지정
959호,"경주 기림사 소조비로자나불 복장전적(慶州 祇林寺 塑造毘盧舍那佛 腹藏典籍)(Excavated Documents from the Clay Vairocana of Girimsa Temple, Gyeongju)",경북 경주시 양북면 호암리 420 기림사,1988년11월 4일지정
961-1호,"묘법연화경 권4~7(妙法蓮華經 卷四~七)(Saddharmapundarika Sutra (The Lotus Sutra), Volumes 4-7)","경남 김해시 대동면 대동로529번길 83, 원명사 (초정리)","1988년12월 28일지정,2013년11월 13일지정번호 변경"
962호,"묘법연화경 권6~7(妙法蓮華經 卷6~7)(Saddharmapundarika Sutra (The Lotus Sutra), Volumes 6 and 7)","서울 서초구 바우뫼로7길 111, 관문사 (우면동)",1988년12월 28일지정
963호,"대방광원각략소주경 권하(大方廣圓覺略소注經 卷下)(Annotated Mahavaipulya purnabudha Sutra (The Complete Enlightenment Sutra), Volume 2)",서울 서초구 바우뫼로7길 111 관문사,1988년12월 28일지정
964호,"대방광불화엄경소 권41(大方廣佛華嚴經疏 卷41)(Commentary on the Avatamsaka Sutra (The Flower Garland Sutra), Volume 41)","서울 서초구 바우뫼로7길 111, 관문사 (우면동)",1988년12월 28일지정
965-1호,육경합부(六經合部)(Yukgyeong hapbu (The Six Sutras)),서울 서대문구,1988년12월 28일지정
967호,"상설고문진보대전전집 권7~8(詳說古文眞寶大全前集 卷七~八)(Sangseol gomun jinbo daejeon jeonjip (Collection of Literary Treasures), Volumes 7 and 8)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1988년12월 28일지정
968호,"묘법연화경 권3(妙法蓮華經 卷三)(Saddharmapundarika Sutra (The Lotus Sutra), Volume 3)","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1988년12월 28일지정
969호,"재조본 유가사지론 권64(再雕本 瑜伽師地論 卷六十四)(Yogacarabhumi Sastra (Discourse on the Stages of Yogic Practice), the Second Tripitaka Koreana Edition, Volume 64)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1988년12월 28일지정
970호,"대방광원각수다라료의경(언해) 권상 1의1, 2의1~3, 권하1의1~2, 2의2~3(大方廣圓覺修多羅了義經(諺解) 卷上 一之一, 二之一~三, 卷下 一之一~二, 二之二~三)(Mahavaipulya purnabudha Sutra (The Complete Enlightenment Sutra), Korean Translation, Part 1-1 and 2-1 to 2-3 of Volume 1, and Part 1-1 to 1-2 and 2-2 to 2-3 of Volume 2)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1988년12월 28일지정
972호,"재조본 유가사지론 권55(再雕本 瑜伽師地論 卷五十五)(Yogacarabhumi Sastra (Discourse on the Stages of Yogic Practice), the Second Tripitaka Koreana Edition, Volume 55)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1988년12월 28일지정
973호,"대불정여래밀인수증료의제보살만행수능엄경(언해) 권4, 7, 8(大佛頂如來密因修證了義諸菩薩萬行首楞嚴經(諺解) 卷四, 七, 八)(Shurangama Sutra (The Sutra of the Heroic One), Korean Translation, Volumes 4, 7, and 8)","서울 종로구 새문안로 55, 서울역사박물관 (신문로2가,서울역사박물관)",1988년12월 28일지정
975호,삼십분공덕소경(三十分功德소經)(Samsipbun gongdeoksogyeong (Buddhist Invocations Reciting Names of 30 Bodhisattvas)),"서울 종로구 새문안로 55, 서울역사박물관 (신문로2가,서울역사박물관)",1988년12월 28일지정
976호,"상지은니묘법연화경 권5~6(橡紙銀泥妙法蓮華經 卷五~六)(Transcription of Saddharmapundarika Sutra (The Lotus Sutra) in Silver on Oak Paper, Volumes 5 and 6)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1988년12월 28일지정
978호,"백지금니대방광불화엄경 주본 권29(白紙金泥大方廣佛華嚴經 周本 卷二十九)(Transcription of Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, in Gold on White Paper, Volume 29)","경기 용인시 처인구 용인대학로 134, 수장고 (삼가동)",1988년12월 28일지정
979호,"공주 서혈사지 석조여래좌상(公州 西穴寺址 石造如來坐像)(Stone Seated Buddha from Seohyeolsa Temple Site, Gongju)","충남 공주시 관광단지길 34, 국립공주박물관 (웅진동)","1989년4월 10일지정,2010년8월 25일명칭 변경"
980호,"화성 봉림사 목조아미타여래좌상(華城 鳳林寺 木造阿彌陀如來坐像)(Wooden Seated Amitabha Buddha of Bongnimsa Temple, Hwaseong)","경기 화성시 주석로80번길 139, 봉림사 (북양동)",1989년4월 10일지정
981호,"하남 교산동 마애약사여래좌상(河南 校山洞 磨崖藥師如來坐像)(Rock-carved Seated Bhaisajyaguru Buddha in Gyosan-dong, Hanam)",경기 하남시 교산동 산10-3번지 선법사,"1989년4월 10일지정,2010년8월 25일명칭 변경"
982호,"이천 장암리 마애보살반가상(利川 長岩里 磨崖菩薩半跏像)(Rock-carved Bodhisattva in Jangam-ri, Icheon)",경기 이천시 마장면 서이천로 577-5 (장암리),"1989년4월 10일지정,2010년8월 25일명칭 변경"
983호,"안성 봉업사지 석조여래입상(安城 奉業寺址 石造如來立像)(Stone Standing Buddha from Bongeopsa Temple Site, Anseong)","경기 안성시 죽산면 칠장로 399-18, 칠장사 (칠장리)","1989년4월 10일지정,2010년8월 25일명칭 변경"
984호,"영동 신항리 석조여래삼존입상(永同 新項里 石造如來三尊立像)(Stone Standing Buddha Triad in Sinhang-ri, Yeongdong)",충북 영동군 용산면 서신항길 135-8 (신항리),"1989년4월 10일지정,2010년8월 25일명칭 변경"
985호,"청주 용화사 석조불상군(淸州 龍華寺 石造佛像群)(Stone Buddhas of Yonghwasa Temple, Cheongju)","충북 청주시 흥덕구 무심서로 565, 용화사 (사직동)","1989년4월 10일지정,2010년8월 25일명칭 변경"
986호,"청양 운장암 금동보살좌상(靑陽 雲藏庵 金銅菩薩坐像)(Gilt-bronze Seated Bodhisattva at Unjangam Hermitage, Cheongyang)",충남 청양군 남양면 온암리 111-5 운장암,1989년4월 10일지정
987호,"당진 신암사 금동여래좌상(唐津 申庵寺 金銅如來坐像)(Gilt-bronze Seated Buddha of Sinamsa Temple, Dangjin)","충남 당진시 송악읍 가교길 144-9, 신암사 (가교리)",1989년4월 10일지정
988호,"군위 대율리 석조여래입상(軍威 大栗里 石造如來立像)(Stone Standing Buddha in Daeyul-ri, Gunwi)","대구 군위군 부계면 한밤8길 21-1, 대율사 (대율리)","1989년4월 10일지정,2010년8월 25일명칭 변경"
989-1호,"예천 용문사 목조아미타여래삼존좌상(醴泉 龍門寺 木造阿彌陀如來三尊坐像)(Wooden Seated Amitabha Buddha Triad of Yongmunsa Temple, Yecheon)",경북 예천군 용문면 내지리 391 용문사,1989년4월 10일지정
989-2호,"예천 용문사 목각아미타여래설법상(醴泉 龍門寺 木刻阿彌陀如來說法像)(Wooden Amitabha Buddha Altarpieceof Yongmunsa Temple, Yecheon)",경북 예천군 용문면 내지리 391 용문사,1989년4월 10일지정
990호,"상주 남장사 철조비로자나불좌상(尙州 南長寺 鐵造毘盧遮那佛坐像)(Iron Seated Vairocana Buddha of Namjangsa Temple, Sangju)","경북 상주시 남장1길 259-22, 남장사 (남장동)",1989년4월 10일지정
991호,"문경 대승사 금동관음보살좌상(聞慶 大乘寺 金銅觀音菩薩坐像)(Gilt-bronze Seated Avalokitesvara Bodhisattvaof Daeseungsa Temple, Mungyeong)","경북 문경시 산북면 대승사길 283, 대승사 (전두리)",1989년4월 10일지정
992호,"대구파계사건칠관음보살좌상및복장유물(大邱把溪寺乾漆觀音菩薩坐像및腹藏遺物)(Dry-lacquered Seated Avalokitesvara Bodhisattva and Excavated Relics of Pagyesa Temple, Daegu)","대구 동구 파계로 741, 파계사 (중대동)",1989년4월 10일지정
993호,"영덕 장륙사 건칠관음보살좌상(盈德 莊陸寺 乾漆觀音菩薩坐像)(Dry-lacquered Seated Avalokitesvara Bodhisattva of Jangnyuksa Temple, Yeongdeok)","경북 영덕군 창수면 장육사1길 172, 장육사 (갈천리)",1989년4월 10일지정
994호,"강화 백련사 철조아미타여래좌상(江華 白蓮寺 鐵造阿彌陀如來坐像)(Iron Seated Amitabha Buddha of Baengnyeonsa Temple, Ganghwa)","인천 강화군 하점면 고려산로61번길 270, 백련사 (부근리)",1989년4월 10일지정
995호,"봉화 축서사 석조비로자나불좌상 및 목조광배(奉化 鷲棲寺 石造毘盧遮那佛坐像 및 木造光背)(Stone Seated Vairocana Buddha and Wooden Mandorla of Chukseosa Temple, Bonghwa)","경북 봉화군 물야면 월계길 739, 축서사 (개단리)","1989년4월 10일지정,2010년8월 25일명칭 변경"
996호,영주 비로사 석조아미타여래좌상(榮州 毘盧寺 石造阿彌陀如來坐像),경북 영주시 풍기읍 삼가리 산17,"1989년4월 10일지정,2010년8월 25일번호·명칭 변경,996-1호와996-2호로 변경"
996-1호,"영주 비로사 석조아미타여래좌상(榮州 毘盧寺 石造阿彌陀如來坐像)(Stone Seated Amitabha Buddha of Birosa Temple, Yeongju)",경북 영주시 풍기읍 삼가리 산17,1989년4월 10일지정
996-2호,"영주 비로사 석조비로자나불좌상(榮州 毘盧寺 石造毘盧遮那佛坐像)(Stone Seated Vairocana Buddha of Birosa Temple, Yeongju)",경북 영주시 풍기읍 삼가리 산17,1989년4월 10일지정
997호,"봉화 북지리 석조반가상(奉化 北枝里 石造半跏像)(Stone Buddha in Bukji-ri, Bonghwa)","대구 북구 대학로 80, 경북대학교박물관 (산격동,경북대학교)",1989년4월 10일지정
998호,"양산 미타암 석조아미타여래입상(梁山彌陀庵 石造阿彌陀如來立像)(Stone Standing Amitabha Buddha at Mitaam Hermitage, Yangsan)","경남 양산시 주진로 379-61, 미타암 (소주동)","1989년4월 10일지정,2010년8월 25일명칭 변경"
999호,"합천 해인사 건칠희랑대사좌상(陜川 海印寺 乾漆希朗大師坐像)(Dry-lacquered Seated Statue of Buddhist Monk Huirang at Haeinsa Temple, Hapcheon)","경남 합천군 가야면 해인사길 122, 해인사 (치인리)",1989년4월 10일지정
1000호,"서울 승가사 석조승가대사좌상(서울 僧伽寺 石造僧伽大師坐像)(Stone Seated Statue of Buddhist Monk Seungga at Seunggasa Temple, Seoul)",서울 종로구 구기동 산2-1,"1989년4월 10일지정,2010년8월 25일명칭 변경"
1001호,양산이씨 종가 고문서(梁山李氏 宗家 古文書)(Documents of the Yangsan Yi Clan),경남 양산시 서일동4길 5-15 (중부동),1989년5월 23일지정
1002호,권주 종가 문적(權柱 宗家 文籍)(Documents of Gwon Ju’s Family),경북 안동시 도산면 퇴계로 1997 한국국학진흥원,1989년5월 23일지정
1003호,조정 임진란기록 일괄(趙靖 壬辰亂記錄 一括)(Jo Jeong's Diaries During the Imjin War),"경북 상주시 사벌면 경천로 684, 상주박물관 (삼덕리)",1989년5월 28일지정
1004-1호,조정 종가 문적(趙靖 宗家 文籍)(Documents of Jo Jeong’s Family),"경북 상주시 사벌면 경천로 684, 상주박물관 (삼덕리)",1989년5월 23일지정
1005호,장말손 종가 고문서(張末孫 宗家 古文書)(Documents of Jang Mal-son’s Family),경북 영주시,1989년5월 23일지정
1006호,이종주 고신왕지 및 이임 무과홍패(李從周 告身王旨 및 李臨 武科紅牌)(Royal Edict of Appointment Issued to Yi Jong-ju and Red Certificate of Passing the Military Service Examination Issued to Yi Im),"울산 남구 두왕로 277, 울산박물관 (신정동, 울산박물관)",1989년5월 23일지정
1007호,조헌 관련 유품(趙憲 關聯 遺品)(Relics Related to Jo Heon),"충남 금산군 금성면 의총길 50, 칠백의총관리소 (의총리, 칠백의 총)",1989년8월 1일지정
1008호,함양박씨 정랑공파 문중 전적(咸陽朴氏 正郞公派 門中 典籍)(Books of the Jeongnanggong Branch of the Hamyang Bak Clan),경기 성남시,1989년8월 1일지정
1009호,"능성 쌍봉사 감역교지(綾城 雙峰寺 減役敎旨)(Royal Edict of Labor ExemptionIssued to Ssangbongsa Temple, Neungseong)",서울 중구 필동로 1길 30 동국대학교도서관,1989년8월 1일지정
1010호,"묘법연화경(언해) 권1, 3, 4, 5, 6(妙法蓮華經(諺解) 卷一, 三, 四, 五, 六)(Saddharmapundarika Sutra (The Lotus Sutra), Korean Translation, Volumes 1, 3, 4, 5, and 6)","서울 서대문구 충정로9길 10-10, (재)아단문고 (충정로2가)",1989년8월 1일지정
1010-2호,"묘법연화경(언해) 권1, 4(妙法蓮華經(諺解) 卷一, 四)(Saddharmapundarika Sutra (The Lotus Sutra), Korean Translation, Volumes 1 and 4)","경기 고양시 일산서구 탄현로 115-22, 원각사 (탄현동)",2010년8월 25일지정
1012호,몽산화상법어략록(언해)(Mongsanhwasang beobeo yangnok (Sermons of Buddhist Monk Mongsan with Commentaries in Korean)),"서울 종로구 효자로 12, 국립고궁박물관 (세종로,국립고궁박물관)",1989년8월 1일지정
1013호,"대방광불화엄경소 권68(大方廣佛華嚴經疏 卷六十八)(Commentary on the Avatamsaka Sutra (The Flower Garland Sutra), Volume 68)",충북 단양군,1989년8월 1일지정
1016호,"대방광원각약소주경 권상의2(大方廣圓覺略疏注經 卷上의二)(Annotated Mahavaipulya purnabudha Sutra (The Complete Enlightenment Sutra), Part 2 of Volume 1)",충북 단양군,1989년8월 1일지정
1017호,"대방광불화엄경 진본 권15, 주본 권38, 정원본권2, 38(大方廣佛華嚴經 晋本 卷十五, 周本 卷三十八, 貞元本 卷二, 三十八)(Avatamsaka Sutra (The Flower Garland Sutra) Jin Version, Volume 15, Zhou Version, Volume 38, Zhenyuan Version, Volumes 2 and 38)",서울 서초구 바우뫼로 7길 111 (관문사),1989년8월 1일지정
1018호,광산김씨 예안파 종가 고문서(光山金氏 禮安派 宗家 古文書)(Documents of the Yean Branch of the Gwangsan Kim Clan),경북 안동시,1990년3월 2일지정
1019호,광산김씨 예안파 종가 전적(光山金氏 禮安派 宗家 典籍)(Books of the Yean Branch of the Gwangsan Kim Clan),경북 안동시 와룡면 오천리 385,1990년3월 2일지정
1020호,김광려 삼남매 화회문기(金光礪 三男妹 和會文記)(Records of Property Inheritance of Kim Gwang-ryeo and His Siblings),"경남 진주시 남강로 626-35, 국립진주박물관 (남성동,진주성)",1990년3월 2일지정
1022호,"청자 상감동채연화당초용문 병(靑磁 象嵌銅彩蓮花唐草龍文 甁)(Celadon Bottle with Inlaid Lotus, Scroll, and Dragon Design in Underglaze Copper)","서울 관악구 남부순환로152길 53, 호림박물관 (신림동,호림박물관)",1990년5월 21일지정
1023호,"청자 음각‘상약국’명 운룡문 합(靑磁 陰刻‘尙藥局’銘 雲龍文 盒)(Celadon Lidded Bowl with Incised Cloud and Dragon Design and Inscription of ""Sangyakguk (Bureau of Medicine)"")","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1990년5월 21일지정
1024호,청자 양각연화당초 상감운학문 완(靑磁 陰刻蓮花唐草 象嵌雲鶴文 碗)(Celadon Bowl with Lotus and Scroll Design in Relief and Inlaid Cloud and Crane Design),"경기 용인시 처인구 포곡읍 에버랜드로562번길 38, 호암미술관 (가실리)",1990년5월 21일지정
1025호,청자 복숭아모양 연적(靑磁 桃形 硯滴)(Celadon Peach-shaped Water Dropper),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
1026호,청자 양각도철문 방형 향로(靑磁 陽刻饕餮文 方形 香爐)(Celadon Square Incense Burner with Goblin Design in Relief),"경기 용인시 처인구 포곡읍 에버랜드로562번길 38, 호암미술관 (가실리)",1990년5월 21일지정
1027호,청자 구룡형뚜껑 향로(靑磁 龜龍形蓋 香爐)(Celadon Incense Burner with Lid in the Shape of a Turtle-dragon),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
1028호,청자 음각연화당초문 항아리(靑磁 陰刻蓮花唐草文 壺)(Celadon Jar with Incised Lotus and Scroll Design),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
1029호,청자 상감모란문 주전자(靑磁 象嵌牡丹文 注子)(Celadon Ewer with Inlaid Peony Design),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
1030호,청자 상감운학문 화분(靑磁 象嵌雲鶴文 花盆)(Celadon Flowerpot with Inlaid Cloud and Crane Design),경기 용인시 처인구 포곡읍 에버랜드로562번길 38 (가실리),1990년5월 21일지정
1031호,청자 양각연지어문 화형 접시(靑磁 陽刻蓮池魚文 花形 楪匙)(Celadon Flower-shaped Dish with Lotus Pond and Fish Design in Relief),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
1032호,청자 음각연화당초 상감국화문 완(靑磁 陰刻蓮花唐草 象嵌菊花文 碗)(Celadon Bowl with Incised Lotus and Scroll Design and Inlaid Chrysanthemum Design),"경기 용인시 처인구 포곡읍 에버랜드로562번길 38, 호암미술관 (가실리)",1990년5월 21일지정
1033호,"청자 상감운학국화문 표주박모양 주전자 및 승반(靑磁 象嵌雲鶴菊花文 瓢形 注子 및 承盤)(Celadon Gourd-shaped Ewer and Saucer with Inlaid Cloud, Crane, and Chrysanthemum Design)",서울 서초구,1990년5월 21일지정
1034호,청자 상감연판문 매병(靑磁 象嵌蓮瓣文 梅甁)(Celadon Prunus Vase with Inlaid Lotus Design),서울 서초구,1990년5월 21일지정
1035호,청자 음각운문 병(靑磁 陰刻雲文 甁)(Celadon Bottle with Incised Cloud Design),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
1036호,청자 상감앵무문 표주박모양 주전자(靑磁 象嵌鸚鵡文 瓢形 注子)(Celadon Gourd-shaped Ewer with Inlaid Parrot Design),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
1037호,청자 음각국화당초문 완(靑磁 陰刻菊花唐草文 盌)(Celadon Bowl with Incised Chrysanthemum and Scroll Design),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
