title,address,telNo
카페 내재,충청남도 공주시 창벽로 420 (상왕동),"050-71367-4413
"
인천통일관,인천광역시 미추홀구 수봉안길 84,
엄홍길전시관,경상남도 고성군 거류면 거류로 335,055-673-2296
은평문화원,서울특별시 은평구 수색로 282  ,02-383-9300
경산문화원,경상북도 경산시 서상길 75,
학고재,서울특별시 종로구 삼청로 50 학고재 ,02-720-1524
유진찜갈비,대구광역시 중구 동덕로36길 9-13,053-425-7184
경희대학교 자연사박물관,서울특별시 동대문구 경희대로 26,자연사박물관 02-961-0142
국일따로국밥,대구광역시 중구 국채보상로 571,053-253-7623
명성황후 기념관,경기도 여주시 명성로 71,031-881-9730
영천시민회관,경상북도 영천시 시청로 17 영천시민회관 ,054-330-6454
포스트극장,서울특별시 마포구 와우산로 148,02-337-5961
신창리 앞바다,경상북도 포항시 남구 장기면 동해안로,054-270-6679
청평호반닭갈비막국수,경기도 가평군 청평면 강변로 45-7,031-585-5921
성남아트센터,경기도 성남시 분당구 성남대로 808,
부르뎅 아동복 (Burdeng),서울특별시 중구 남대문시장8길 14,02-755-5737
청화산농원,경상북도 상주시 화북면 문장로 2199-11,
표충사호국박물관,경상남도 밀양시 단장면 표충로 1338,
[북한산 둘레길] 1 소나무숲길,서울특별시 강북구 삼양로173길 12,02-900-8086
"해남장 (1, 6일)",전라남도 해남군 해남읍 중앙2로 100-1,061-536-4953
익산시여성회관,전북특별자치도 익산시 인북로32길 32,063-859-4986~8
손지오름,제주특별자치도 제주시 구좌읍 종달리,"제주관광정보센터 064-740-6000

"
[제주올레 10코스] 화순-모슬포 올레,제주특별자치도 서귀포시 안덕면 화순해안로 85,
대구광역시청소년수련원,대구광역시 달서구 앞산순환로 180,
죽산낚시터,충청남도 아산시 선장면 서부남로 344,041-544-3666
옹기공방,충청북도 영동군 영동읍 임계길 240-27,"043-744-6040 
"
[경기옛길 영남길 제4길] 석성산길(동백호수공원 ~ 용인문화복지행정타운),경기도 용인시 기흥구 동백중앙로 239,031-231-8524
선창집,인천광역시 강화군 선원면 해안동로 1199,032-932-7628
보련마을,충청북도 진천군 진천읍 보련골길 40-4,010-6266-6335
솔매기식당,경상북도 경산시 와촌면 갓바위로 314,"053-852-5566
"
전통식당,전라남도 담양군 고서면 고읍현길 38-4,061-382-3111
호도해수욕장,충청남도 보령시 오천면 녹도1길 3,
홍도마을,충청남도 금산군 홍도1길 53-2  ,041-752-6861
횡성 밤두둑마을,강원특별자치도 횡성군 횡성읍 반곡3길 6,
남산골산채집,서울특별시 중구 소파로 93,02-754-1978
청성서원,경상북도 안동시 풍산읍 웃막실길 10,안동시청 문화유산과 054-840-5236
한국문화연수원,충청남도 공주시 사곡면 마곡사로 1065,041-841-5050
한미르,전라남도 목포시 유달로 112,061-243-7227
한국항공대학교 항공우주박물관,경기도 고양시 덕양구 항공대학로 76,0507-1379-0466
강경 중앙초등학교 강당,충청남도 논산시 강경읍 옥녀봉로 8,041-745-0678
수하계곡(평창),강원특별자치도 평창군 미탄면 평안한치길 43-13,033-330-2771
갓바위 문화타운,전라남도 목포시 남농로 135,"061-270-8598, 8442"
가령폭포,강원특별자치도 홍천군 내촌면 와야리,033-430-2544
홍천 무궁화마을,강원특별자치도 홍천군 밤벌길 126,
신도해변,전라남도 신안군 하의면 신도길 163,
남포면옥 ,서울특별시 중구 을지로3길 24,02-777-3131
돌담사이로,경상남도 거창군 위천면 황산1길 81,
인천도호부관아,인천광역시 미추홀구 매소홀로 553,
명수정,부산광역시 금정구 구서로 23,051-517-4114
광대곡,강원특별자치도 정선군 화암면 광대곡길,정선군 종합관광안내소 1544-9053
외옹치마을 ,강원특별자치도 속초시 해오름로 77-16,033-639-2690
경주 굴불사지 석조사면불상,경상북도 경주시 산업로 4214-76,
산해반점,전라남도 여수시 통제영5길 10-2,061-662-3365
강촌식당,강원특별자치도 양양군 양양읍 안산2길 75,033-671-9966
장춘사(함안),경상남도 함안군 칠북면 북원로 110-1,
양덕도(발가락섬),전라남도 진도군 조도면 가사도길 42-204,061-540-6803
봉하마을,경상남도 김해시 진영읍 봉하로 115,055-346-0660
칠갑산산꽃마을,충청남도 청양군 대치면 까치내로 1063-1,
대원사계곡,경상남도 산청군 삼장면,산청군 관광진흥과 055-970-7231
옥야식당,경상북도 안동시 중앙시장길 7,054-853-6953
쌍산재,전라남도 구례군 마산면 장수길 3-2,061-782-5179
고궁의 아침,서울특별시 종로구 창경궁로 158,02-762-7620
최호장군유지,전북특별자치도 군산시 개정면 원발산길 33-2,
안성맞춤가족공원,경기도 안성시 공도읍 대림동산길 36,031-678-2667
한마음식당,경상남도 통영시 해송정1길 6,055-645-0971
통나무식당,전라남도 순천시 백강로 36,061-721-8801
부평향교,인천광역시 계양구 향교로 19,
단양 조덕수고택,충청북도 단양군 가곡면 덕천1길 19,
영동리 토속음식마을,경기도 광주시 퇴촌면 영동길 38,
운계서원(영덕),경상북도 영덕군 병곡면 거무역2길 22,"영덕군청 문화유산팀 054-730-6296
"
두계외갓집체험마을,전라남도 곡성군 고달면 두계길 126,070-7724-5587
"거슨세미(세미오름, 샘오름)",제주특별자치도 제주시 구좌읍 송당리 산145,"제주관광정보센터 064-740-
구좌읍사무소 064-728-1523"
충무사(순천),전라남도 순천시 해룡면 신성2길 145,061-749-4465
경북전통음식체험관 모심정,경상북도 문경시 마성면 봉생1길 13,054-571-1845
바래봉,전북특별자치도 남원시 운봉읍 바래봉길 196,
산모랭이풀내음,충청북도 보은군 내북면 산척상궁로 421-100,043-542-5257
심향사(나주),전라남도 나주시 건재로 41-1,
금강사(부산),부산광역시 동래구 우장춘로 211 (온천동),051-555-1383
보살사(청주),충청북도 청주시 상당구 낙가산로 168,043-297-7526
중원폭포,경기도 양평군 용문면 연수리,031-773-5101
부아산 구름다리,인천광역시 옹진군 자월면 이작리,
강화 갑곶리 탱자나무,인천광역시 강화군 강화읍 동문로 119,
선비마을,경기도 안성시 양성면 덕봉길 45,"031-672-6875
"
유달산 달성공원,전라남도 목포시 죽교동,
애플모텔,광주광역시 서구 월드컵4강로181번길 35-1,062-382-7540
연포리조트,충청남도 태안군 근흥면 연포2길 57,041-673-0506
설아다원[한국관광 품질인증/Korea Quality],전라남도 해남군 삼성길 153-21 설아다원,061-533-3083
학인당,전북특별자치도 전주시 완산구 향교길 45,063-284-9929
이비스 앰배서더 부산 시티센터,부산광역시 부산진구 중앙대로 777,051-930-1100
켄싱턴리조트 경주보문 ,경상북도 경주시 보문로 182-29,054-748-8400
"강화도 남단(여차리, 선두리 해안)",인인천광역시 강화군 일대,032-934-7500
수달연구센터,강원특별자치도 화천군 간동면 간척월명로 869-129,033-441-9798
용화찜,경상남도 통영시 봉수로 76,"055-643-0149
"
아일렛펜션,경상남도 통영시 산양읍 풍화일주로 1512,010-2710-8537
[착한가게] 안창깍두기,울산광역시 남구 대학로84번길 5-9,"052-277-1096
"
쥬라기랜드,경기도 과천시 광명로 181,02-509-6000
모닝아일랜드(거제삼성호텔),경상남도 거제시 장평3로 80-37,055-631-2300
전라도팥칼국수,경기도 시흥시 동서로857번길 12,031-405-7012
한라산소주 공장투어,제주특별자치도 제주시 한림읍 한림로 555,064-729-1950
거두리낚시터,강원특별자치도 춘천시 동내면 거두길 282-8,033-262-6995
오대산 명상의 숲길,강원특별자치도 평창군 진부면 오대산로 1211-14,033-330-2399
동해 웰빙레포츠타운,강원특별자치도 동해시 덕골길 10,
화태대교,전라남도 여수시 돌산읍, 061-690-2633
오이아호텔,부산광역시 사하구 다대동로 45,051-261-0600
도계유리마을,강원특별자치도 삼척시 도계읍 도계로 31,033-541-6259
낙산항,강원특별자치도 양양군 강현면 낙산사로 54-10,033-670-2411 
순솝,전라남도 순천시 덕암삼거리길 2 (덕암동),0507-1317-7187
스페이스 선,충청북도 충주시 소태면 솔무정길 35-1,
국립제천치유의숲,충청북도 제천시 청풍면 학현소야로 590,043-653-0246
굴전여가캠핑장,전라남도 여수시 돌산읍 돌산로 3017-15,"1588-3896
"
그린오토캠핑장,경상북도 포항시 남구 호미곶면 호미로 1178,010-2666-7696
안산화랑오토캠핑장,경기도 안산시 단원구 동산로 268,031-481-9801
지리산리조트글램핑,경상남도 산청군 시천면 지리산대로511번길 11-33,0507-1359-5760
홍산관광농원,충청남도 부여군 홍산면 삽티로 465,0507-1332-1332
풍혈산 캠핑장,경기도 포천시 일동면 성장로 397,010-2129-5115
목사골야영장,전라남도 곡성군 목사동면 용봉길 91-10,"061-362-010-2478-3462
"
칠곡해물손칼국수,경기도 안성시 원곡면 만세로 1090,"031-655-6262
"
일마레변산리조트,전북특별자치도 부안군 변산면 궁항로 91,"063-581-9050					
"
보목포구,제주특별자치도 서귀포시 보목포로 46,
소백산마을 캠핑장,경상북도 영주시 단산면 소백로 3231,전화번호 없음
호산공원,대구광역시 달서구 달서대로109길 70,053-667-2851
테크노폴리스중앙공원,대구광역시 달성군 유가읍 테크노공원로 58,053-668-2000
솥뚜껑식당,충청남도 공주시 사곡면 아래안영골길 4,
도화지오토캠핑장,경상북도 경산시 와촌면 대한길 45-18,"010-9340-0085
"
한탄강어린이교통랜드,경기도 연천군 전곡읍 선사로 14-71,
샤샤의놀이터,경상남도 창원시 의창구 대봉로 14,전화번호 없음
궁평유원지,경기도 화성시 서신면 궁평리 513-9,
마루펜션 캠핑장,강원특별자치도 영월군 주천면 평창강로 221,전화번호 없음
뜨란솔 캠핑장,강원특별자치도 영월군 무릉도원면 무릉법흥로 782-26,010-5372-7215
협재해녀의집,제주특별자치도 제주시 한림읍 협재3길 19,064-796-7773
주산벚꽃로,충청남도 보령시 주산면 동막오상길 15-4,
흑성산		,충청남도 천안시 동남구 목천읍 교촌7길 46-12,"041-521-2424
"
이장네오리,경기도 고양시 덕양구 대장길50번길 71,
봉천중앙시장,서울특별시 관악구 관악로 211,전화번호 없음
홍차가게 소정,충청북도 옥천군 군북면 성왕로 1837,
코스카CC,충청북도 음성군 음성읍 동음로 318,
카페엘토브,경기도 오산시 문시로 110-35,"031-8077-9856
"
야스마루,부산광역시 부산진구 서전로38번길 35-14,
천리포항,충청남도 태안군 소원면 의항리,
내손체육공원,경기도 의왕시 내손공원길 39,031-425-1991
일광소나무집해산물전복죽,부산광역시 기장군 일광면 일광로 334,
은평역사한옥박물관,서울특별시 은평구 연서로50길 8,02-351-8556
오대산산촌식당,강원특별자치도 평창군 진부면 오대산로 152,033-333-7975
동일식당,강원특별자치도 양양군 양양읍 남문3길 11-9,033-672-1563
중앙식당,전라남도 고흥군 도화면 당오천변1길 39,"061-832-7757
"
청와옥 본점,서울특별시 송파구 위례성대로 48,
외동시장,경상남도 김해시 내외중앙로 33,
남광시장,부산광역시 남구 대연동 1170-8,전화번호 없음
우산월곡시장,광주광역시 광산구 사암로 300,062-951-6114
코뿔소글램핑,강원특별자치도 평창군 방림면 삼형제길 279-61,
단천면옥,강원특별자치도 속초시 소평로 131,
흥부골자연휴양림,전북특별자치도 남원시 인월면 인월리 산53-1,
구두미포구,제주특별자치도 서귀포시 보목동 1351,
물댄동산,경기도 파주시 광탄면 기산로 367,
행운야영장(양주두리캠핑),경기도 양주시 마전로212번길 79-72,전화번호 없음
새만금 비응공원,전북특별자치도 군산시 새만금북로 27,
로뎀나무펜션,강원특별자치도 평창군 평창읍 안정말길 58,전화번호 없음
성수 피치스도원,서울특별시 성동구 연무장3길 9  ,02-468-7719
문어국밥,강원특별자치도 속초시 중앙로147번길 43  ,033-638-8837
스테이황룡,전라남도 장성군 행복1길 5-3  ,010-7142-5646
스테리나잇 제주[한국관광 품질인증/Korea Quality],제주특별자치도 제주시 애월로 37,010-2419-0578
봉화정자문화생활관[한국관광 품질인증/Korea Quality],경상북도 봉화군 부랭이길 88 봉화군시설관리사업소,054-679-6963
광명 아리랑,경기도 광명시 오리로619번길 28,
삐에스몽테제빵소,경기도 수원시 권선구 오목천로 149,
명가소나무집,경기도 남양주시 불암로109번길 13 정글농장 ,전화번호 없음
카페 라플렌,경기도 남양주시 순화궁로 865-9,
플레이스 지안,경기도 양주시 중앙로 164-22,
카페스톤,경상북도 고령군 대가야로 446-44,
가마솥한우진곰탕,충청남도 금산군 금산로 2428 화목가든,
시민제과,경상북도 포항시 북구 불종로 48,
벌말기사부페,인천광역시 계양구 벌말로573번길 3-1,
아메리카나 안성점,경기도 안성시 정봉길 49,
돈까스잔치 동빙고점,서울특별시 용산구 서빙고로 297,
카페주남,경상남도 창원시 의창구 주남로71번길 3,
더 정감,경기도 안성시 미리내성지로 339-3,
맷돌두부집,경기도 안성시 녹배길 103,
프로퍼커피바2호점,서울특별시 송파구 오금로31가길 20 대림가락,
게이블루프커피,대구광역시 달성군 강정본길 77,
오짜장,제주특별자치도 제주시 조공포길 36,
소디스커피,경상북도 경주시 형산로 161,
원조제일돌곱창,전라남도 목포시 해안로173번길 28,
연화리 진품물회,부산광역시 기장군 연화1길 65 해운횟집,
장원가든,경기도 시흥시 하우로94번길 67,
일대교몽돌장어,경기도 김포시 김포대로3023번길 83,
양지설렁탕,경기도 용인시 처인구 죽양대로 2004-1 메밀꽃필무렵지산휴게소,
보리밥전문점보릿골,경기도 광명시 오리로619번길 27,
팔음산마을,충청북도 옥천군 예곡2길 8-12,
이안에들꽃,울산광역시 울주군 이전장성길 60-15,
돈까스하우스,경기도 안산시 상록구 장하로 13,
까꾸리웰빙손칼국수,대구광역시 수성구 월드컵로5길 17,
황룡우시장국밥집,전라남도 장성군 강변로 521-1,
능골매운탕,경기도 파주시 삼릉로 45 능골매운탕,
플로레,경기도 가평군 에덴벚꽃길 39-1,
양평한우마을,경기도 양평군 강남로 306,
연희김밥 본점,서울특별시 서대문구 연희로11가길 2,
쌤김밥,경상남도 거제시 지세포로 101  ,전화번호 없음
무주뚝배기,전북특별자치도 무주군 관동길 7,
우나기노켄,인천광역시 연수구 청량로70번길 8,
일레븐그릴,경상남도 거제시 일운면 소동리,
숨쉬는순두부 본점,대구광역시 수성구 들안로 44,
인스밀,제주특별자치도 서귀포시 일과대수로27번길 22,
송치마을,전라남도 순천시 송치안길 88  ,전화번호 없음
사마정,부산광역시 해운대구 마린시티3로 46 우신골든메르시아,
각골공원,경기도 안산시 상록구 본오동,
정원쭈꾸미,경기도 화성시 최루백로 253-7,
취룡,경기도 광주시 이배재로 308  ,전화번호 없음
진성원,전북특별자치도 군산시 구암3.1로 70-1 진성원,
락희차이나,경기도 고양시 일산동구 호수로 640 청원레이크빌,
바닷물손두부,충청남도 계룡시 양정향한길 218-6,
안흥식당,충청남도 태안군 정주내2길 15,
닭으로가 압구정본점,서울특별시 강남구 언주로172길 55,
은하갈비,부산광역시 동구 초량중로 86,
다온 바이뱀부,서울특별시 강남구 학동로25길 39,
유정해장국,전라남도 여수시 통제영5길 8-1,
태성반점,전북특별자치도 군산시 축동로 112,
바다보다,인천광역시 강화군 해안남로 116,
막동이회관,광주광역시 동구 남문로 614,
제일정해물탕아구찜,경기도 고양시 일산동구 백석로72번길 37,
최대게,강원특별자치도 강릉시 해안로 1727-2,
여기서 행복할 것,충청남도 예산군 충의로 141,
모모아트,인천광역시 계양구 역골로43번길 33,
헤이믈,세종특별자치시  고운한옥1길 3,
장벌바지락칼국수,충청남도 보령시 해안로 405,
강릉집,경기도 고양시 일산동구 중앙로1261번길 61 메트로골드,
빵굽는정원,경기도 광주시 천진암로 327-14,
DU COUPLE,경기도 수원시 영통구 월드컵로 185 (원천동),전화번호 없음
모녀가리비,강원특별자치도 속초시 대포항희망길 53  ,033-636-0092
남경막국수,강원특별자치도 속초시 동해대로 3888  ,전화번호 없음
산수야,강원특별자치도 춘천시 만군길 12,
김가네서해짬뽕,충청남도 서천군 서인로 285  ,전화번호 없음
조만영의벌떡순대국,전북특별자치도 김제시 남북로 151,
동탄여울공원,경기도 화성시 오산동,
용추숯불닭갈비,경기도 가평군 용추로 57  ,전화번호 없음
포스트아일랜드,제주특별자치도 제주시 칠성로길 5  ,064-758-4101
장흥한우삼합구이,전라남도 장흥군 토요시장2길 9-2  ,전화번호 없음
신두57캠핑장,충청남도 태안군 신두해변길 201-31,
화지한우식육식당,경상남도 거제시 서문로6길 10,
박가네 돌판찜,경상남도 거제시 읍내로 80-1,
기흥한우집,경기도 용인시 기흥구 기흥단지로24번길 13 기흥한우집 ,전화번호 없음
통영해물뚝배기,경상남도 통영시 발개로 115-1,
돌산 정담,전라남도 여수시 강남동로 53  ,전화번호 없음
용틀임 바위,인천광역시 옹진군 백령면 남포리,
신우정,경기도 안산시 단원구 대부황금로 1484  ,전화번호 없음
한복입고 유유자적,전라남도 영암군 군서면 돌정고개길 11,061-472-7515
동남식당,경상북도 경주시 해변공원길 61,
구리어린이천문대,경기도 구리시 사노동,031-523-3245
PTP 애견테마파크,전북특별자치도 익산시 진북로 294-18  ,063-853-8888
일신홀,서울특별시 용산구 한남대로 98 (한남동),02-790-3364
한화기념관,인천광역시 남동구 논현고잔로168번길 45 한화기념관 ,"032-431-5142 <br>032-431-5145
"
대룡마을,부산광역시 기장군 장안읍 대룡1길 10,051-709-4084(기장군청 관광진흥과)
보은산V랜드,전라남도 강진군 강진읍 남성리,061-430-3294
천학정스쿠버리조트,강원특별자치도 고성군 토성면 천학정길 39,010-6391-1508
효명사,제주특별자치도 서귀포시 516로 815-41 효명사 ,064-733-4950
아우라지선착장,강원특별자치도 정선군 여량면 아우라지길 78,"033-560-2665(여량면사무소)
"
자라나는 숲(광진숲 나루 전망대),서울특별시 광진구 광장동,02-450-7784
온수성당,인천광역시 강화군 길상면 삼랑성길 24,032-937-7922
사직야구장,부산광역시 동래구 사직로 45 (사직동),
백운포체육공원,부산광역시 남구 백운포로 108 (용호동),051-601-3427
한복이야기,전북특별자치도 전주시 완산구 효자로 338 (중화산동2가),"063-221-4116
"
엔브릿지호텔,전북특별자치도 전주시 완산구 전주천서로 81 (동서학동),"063-232-6000					
"
양평 아프리카 문화예술박물관,경기도 양평군 용문면 금곡리,031-771-5722
덕산기 숲속책방,강원특별자치도 정선군 정선읍 덕우리,
충주댐 벚꽃길,충청북도 충주시 동량면 지등로 709,043-842-0531
방화근린공원,서울특별시 강서구 방화동,02-2657-8688
오션차일드 발산센터,서울특별시 강서구 공항대로 290 (내발산동),
브라운도트호텔 송정점,부산광역시 해운대구 송정광어골로 30 (송정동),
울진토염,경상북도 울진군 왕피천공원길 1 엑스포공원,
광통교,서울특별시 종로구 서린동,
화본마을 ,대구광역시 군위군 산성면 산성가음로 722,"054-382-3361
"
고싸움놀이테마파크,광주광역시 남구 고싸움로 2 (칠석동),062-607-2347
소노벨 청송 솔샘온천,경상북도 청송군 주왕산면 주왕산로 494-1,1588-4888
합천 운석충돌구,경상남도 합천군 초계면 원당리,055-930-4692
강남문화원,서울특별시 강남구 논현로131길 40 (논현동),강남문화원 02-3454-1519
남해문화센터,경상남도 남해군 남해읍 선소로 12,055-860-8621
속초문화원,강원특별자치도 속초시 번영로 155,
인천수봉문화회관,인천광역시 미추홀구 수봉안길 78,032-868-7196
인제산촌민속박물관,강원특별자치도 인제군 인제읍 인제로156번길 50,033-462-2086
홍대난타극장,서울특별시 마포구 양화로16길 29,02-739-8288 
국립제주박물관,제주특별자치도 제주시 일주동로 17,
중랑구립면목정보도서관,서울특별시 중랑구 면목로 397,02-432-4123
정선향토박물관,강원특별자치도 정선군 화암동굴길 12-1  ,033-560-3418
성북동돼지갈비,서울특별시 성북구 성북로 115,02-764-2420
거창문화센터,경상남도 거창군 거창읍 수남로 2181,055-940-8460
평화누리길 2코스 조강철책길,경기도 김포시 월곶면 포내리,031-980-5108
창원 진례산성,경상남도 창원시 성산구 토월동,창원시 문화예술과 055-225-3671
구공업전습소본관,서울특별시 종로구 이화장길 81,02-2148-1842
더덕고을,대구광역시 동구 파계로 152-5,053-985-5700
보성 벌교 홍교,전라남도 보성군 벌교읍 벌교리,
백암아트홀,서울특별시 강남구 테헤란로113길 7,02-559-1333
평촌아트홀,경기도 안양시 동안구 평촌대로 76,031-687-0555
오투리조트 스키장,강원특별자치도 태백시 서학로 861,
오호어촌체험마을,강원특별자치도 고성군 심층수길 40-20  ,033-631-2552
서울특별시립수서청소년수련관,서울특별시 강남구 광평로 144,
충청남도교육청안전수련원,충청남도 공주시 연수원길 88-42,041-850-9211~2
부산 아시아드주경기장,부산광역시 연제구 월드컵대로 344,051-500-2123
점봉산산채,강원특별자치도 속초시 이목로 132,033-636-5947
한국기념품백화점,제주특별자치도 제주시 원노형로 13,064-742-0987
"풍각장 (1, 6일)",경상북도 청도군 풍각면 송서5길 10-1,054-370-6704
"일로장 (1, 6일)",전라남도 무안군 일로읍 시장길 11-22,061-450-5602
금문,부산광역시 동래구 온천장로119번길 57,"051-555-4987, 051-552-2074"
안동호,경상북도 안동시 호반로,054-856-3013
정선석공예단지,강원특별자치도 정선군 정선읍 소금강로 19,
온고을공예방,전북특별자치도 전주시 완산구 향교길 51-9,0507-1407-1617
가든갤러리,경기도 남양주시 강변북로632번길 57-28,031-566-7777
조랑말체험공원,제주특별자치도 서귀포시 표선면 녹산로 381-15,
정읍 신태인시장,전북특별자치도 정읍시 신태인읍 시장2길 14,063-571-7040
문경 동로시장,경상북도 문경시 동로면 여우목로 2788-1,054-550-6393
이천손칼국수,경기도 이천시 영창로 205,031-635-6239
[경기옛길 삼남길 제8길] 오산생태하천길(은빛개울공원 ~ 맑음터공원),경기도 오산시 금암동,031-231-8524
토함산도예,경상북도 경주시 하동공예촌길 12-6,054-746-7445
산이좋은사람들,경기도 가평군 조종면 와곡길 3-16,031-585-8645
인사동찻집,서울특별시 종로구 인사동길 33-1,02-723-4909
한민족역사문화공원,충청남도 천안시 동남구 목천읍 교천지산길 284-88,
서울24시감자탕,경기도 용인시 기흥구 평촌2로1번길 4-9,031-274-0858
뒤웅박고을,세종특별자치시 전동면 배일길 90-43,
운암서원(광주),광주광역시 북구 무등로 1040,062-410-8000
백운산(정선),강원특별자치도 정선군 신동읍 점재길,정선군 관광안내소 1544-9053 (전화 가능 시간 10:00~17:00)
울주 간월사지 석조여래좌상,울산광역시 울주군 상북면 알프스온천4길 15,
백마고지 3용사의 상,서울특별시 광진구 능동로 216,02-450-9311
대원식당,경상북도 고령군 쌍림면 대가야로 691,054-955-1500
영명사(칠곡),경상북도 칠곡군 북삼읍 금오동천로 84,054-973-1842
화심두부마을,전북특별자치도 완주군 소양면 전진로 1006,063-243-0515
장보고 동상,전라남도 완도군 완도읍 청해진로 1565-2, 완도군 장보고유적시설팀 061-550-5146
아산 이충무공묘,충청남도 아산시 음봉면 고룡산로 12-38,041-543-2819
코리아크래프트브류어리,충청북도 음성군 원남면 원남산단로 97,043-927-2600
상주동학교당,경상북도 상주시 은척면 우기1길 64,054-541-4288
산정호수가든,전북특별자치도 익산시 웅포면 백제로 476-6,063-862-6915
가고파식당 ,경상북도 문경시 문경읍 새재로 916-1,054-571-8899 
일본인지주가옥,전라남도 나주시 예향로 3871-4,"061-332-0663(영산동도시재생현장지원센터)
"
금전산,전라남도 순천시 낙안면 상송리,
만해 한용운선생 생가지,충청남도 홍성군 결성면 만해로318번길 83,041-630-9231
용인향교,경기도 용인시 기흥구 용인향교로 12-6 용인향교 ,031-284-5020
담양 시목마을,전라남도 담양군 대덕면 시목길 29,
대왕암 송림,울산광역시 동구 등대로 110,052-209-3738
청수정,서울특별시 종로구 삼청로 91,02-738-8288
삼척 맹방 유채밭,강원특별자치도 삼척시 근덕면 상맹방리 216-2,033-575-1330
백야도 등대,전라남도 여수시 화정면 백야등대길 48,061-650-6101
간월산,울산광역시 울주군 상북면 간월산길 614,
영천 자천리 오리장림,경상북도 영천시 화북면 자천리,영천시 문화예술과 054-330-6539
소라횟집,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,064-784-3545
예천천문우주센터,경상북도 예천군 충효로 1078,
처용암,울산광역시 남구 황성동 668-1,
오미나라 ,경상북도 문경시 문경읍 새재로 609,054-572-0601
석천암(괴산),충청북도 괴산군 청천면 삼송길 205-182,전화번호 없음
통진향교,경기도 김포시 월곶면 군하로 288-21,
보림사(함양),경상남도 함양군 함양읍 상림3길 32,055-963-2471
다향보성녹돈촌,전라남도 보성군 회천면 남부관광로 2320,061-852-9233
다리안계곡,충청북도 단양군 단양읍 다리안로 528-10,
맥아더 사령관 한강방어선 시찰지,서울특별시 영등포구 신길로 275 (영등포동),영등포공원 02-2670-3717
성수족발,서울특별시 성동구 아차산로7길 7,02-464-0425
서울 연세대학교 아펜젤러관,서울특별시 서대문구 연세로 50,02-2123-6203
수담한정식,서울특별시 강남구 봉은사로 418,02-558-4900
감내맛집,부산광역시 사하구 감내2로 159,051-291-1444
아구할미 서대대감,전라남도 여수시 교동남2길 5,061-684-3908
궁터별무리산촌생태마을,경상북도 문경시 농암면 궁터길 181,
개삼터·개삼각,충청남도 금산군 남이면 개삼로 101,041-750-2384
금강식물원,부산광역시 금정구 장전동 산 43-1,전화번호 없음
원통사(서울),서울특별시 도봉구 도봉로169길 520,
백련사(가평),경기도 가평군 상면 샘골길 159-50,"종무소 031-585-
템플스테이 031-585-3853"
성령대군묘,경기도 고양시 덕양구 대자동,"고양시 문화유산관광과 031-8075-3396
"
개운사(서울),서울특별시 성북구 개운사길 73,02-926-4069
고성장산리허씨고가,경상남도 고성군 마암면 장산길 21,055-670-2224
호암산성,서울특별시 금천구 독산로36나길 63,
금릉경포대,전라남도 강진군 성전면 백운로 146-1,
무주 덕유산 레저바이크텔[한국관광 품질인증/Korea Quality],전북특별자치도 무주군 설천면 구천동로 968,010-6235-8587
보물섬펜션,제주특별자치도 서귀포시 성산읍 한도로242번길 10-11,064-733-5212
진송관광호텔,전라남도 장흥군 장흥읍 동교2길 1,0507-1459-7853
제주신라호텔,제주특별자치도 서귀포시 중문관광로72번길 75,064-735-5114
라마다 앙코르 바이윈덤 부산해운대,부산광역시 해운대구 구남로 9,051-610-3000
부산비즈니스호텔,부산광역시 부산진구 부전로 67,051-808-2000
한화리조트 제주,제주특별자치도 제주시 명림로 575-107,064-725-9000
일락당사랑채 [한국관광 품질인증/Korea Quality],전북특별자치도 전주시 완산구 최명희길 15,010-3084-6679
악티바,경기도 광주시 곤지암읍 경충대로 729,"031-763-4114 
"
일번지할매충무김밥,경상남도 통영시 통영해안로 227-1,055-643-8991
수라간,울산광역시 남구 삼산로 273,052-245-3937
하해밀면,울산광역시 중구 명난로 129,052-249-7970
(사)한국천연염색 숨(보성천연염색공예관 숨),전라남도 보성군 복내면 개기로 1529-45,
낙동강하구 (부산 국가지질공원),부산광역시 사하구 낙동남로 1240,
오유당,전라남도 영광군 백수읍 백수로7길 15,010-9141-1727
대운산자연휴양림 네트어드벤처,경상남도 양산시 탑골길 208-124,055-379-8670
투나잇호텔[한국관광 품질인증/Korea Quality],전북특별자치도 전주시 덕진구 아중4길 16,063-241-9594
성하,서울특별시 영등포구 국제금융로6길 30,02-785-4488
태권명상숲길,전북특별자치도 무주군 설천면,
민통선한우촌,강원특별자치도 철원군 갈말읍 호국로 4987,033-452-6649 
한국조리박물관,경기도 안성시 일죽면 주래본죽로 158-60,031)673-9966 
상주공간,경상북도 상주시 남성2길 22,
청춘양구레포츠공원,강원특별자치도 양구군 양구읍 박수근로 366-24,
남원시 옻칠공예관,전북특별자치도 남원시 요천로 1234-5 (조산동),063-631-5725
새빌,제주특별자치도 제주시 애월읍 평화로 1529,0507-1315-0080
보은글램핑,충청북도 보은군 속리산면 속리산로 1029-13,010-6388-4881
청운오토캠핑장,경기도 양평군 청운면 수풀길 37,010-9885-031-775-1231
시그니엘 부산,부산광역시 해운대구 달맞이길 30,051-922-1000
천생산성산림욕장,경상북도 구미시 여헌로10길 229,
하늘누리항공,경기도 화성시 우정읍 평밭길 365, 031-351-7992
